ID,县(市)名称,县(市)代码,数据年份,活立木总蓄积,林分面积合计,用材林面积,防护林面积,薪炭林面积,经济林面积,特用林面积,林分蓄积合计,用材林蓄积,防护林蓄积,薪炭林蓄积,经济林蓄积,特用林蓄积,幼龄林面积合计,幼龄用材林面积,幼龄防护林面积,幼龄薪炭林面积,幼龄经济林面积,幼龄特用林面积,幼龄林蓄积合计,幼龄用材林蓄积,幼龄防护林蓄积,幼龄薪炭林蓄积,幼龄经济林蓄积,幼龄特用林蓄积,中龄林面积合计,中龄用材林面积,中龄防护林面积,中龄薪炭林面积,中龄经济林面积,中龄特用林面积,中龄林蓄积合计,中龄用材林蓄积,中龄防护林蓄积,中龄薪炭林蓄积,中龄经济林蓄积,中龄特用林蓄积,近熟林面积合计,近熟用材林面积,近熟防护林面积,近熟薪炭林面积,近熟经济林面积,近熟特用林面积,近熟林蓄积合计,近熟用材林蓄积,近熟防护林蓄积,近熟薪炭林蓄积,近熟经济林蓄积,近熟特用林蓄积,成熟林面积合计,成熟用材林面积,成熟防护林面积,成熟薪炭林面积,成熟经济林面积,成熟特用林面积,成熟林蓄积合计,成熟用材林蓄积,成熟防护林蓄积,成熟薪炭林蓄积,成熟经济林蓄积,成熟特用林蓄积,过熟林面积合计,过熟用材林面积,过熟防护林面积,过熟薪炭林面积,过熟经济林面积,过熟特用林面积,过熟林蓄积合计,过熟用材林蓄积,过熟防护林蓄积,过熟薪炭林蓄积,过熟经济林蓄积,过熟特用林蓄积,疏林蓄积合计,疏林用材林蓄积,疏林防护林蓄积,疏林薪炭林蓄积,疏林经济林蓄积,疏林特用林蓄积,散生木蓄积合计,散生用材林蓄积,散生防护林蓄积,散生薪炭林蓄积,散生经济林蓄积,散生特用林蓄积,枯立木蓄积合计,枯立用材林蓄积,枯立防护林蓄积,枯立薪炭林蓄积,枯立经济林蓄积,枯立特用林蓄积,总和
1,西安市,610100,1980-1984,23448600,4140300,511100,3133600,303700,0,191900,21721300,1688000,17161100,1199800,0,1672400,877100,184700,580100,106900,0,5400,1986000,227600,1486600,262900,0,8900,1745400,264200,1293400,173600,0,14200,7780100,1098700,5858800,749400,0,73200,6100,1100,5000,0,0,0,31000,6500,24500,0,0,0,1511700,61100,1255100,23200,0,172300,11924200,355200,9791200,187500,0,1590300,0,0,0,0,0,0,0,0,0,0,0,0,403600,194200,207300,0,0,2100,149100,111000,36200,500,0,1400,0,0,0,0,0,0,1174600
2,周至,610124,1980-1984,15081600,2360100,99100,2026400,46400,0,188200,14837100,387800,12489900,290700,0,1668700,408300,59200,337100,9300,0,2700,1238100,174200,1027900,28300,0,7700,876500,39900,809500,13900,0,13200,4694000,213600,4334800,74900,0,70700,0,0,0,0,0,0,0,0,0,0,0,0,1075300,0,879800,23200,0,172300,8905000,0,7127200,187500,0,1590300,0,0,0,0,0,0,0,0,0,0,0,0,78600,0,76500,0,0,2100,10000,0,8900,0,0,1100,0,0,0,0,0,0,155900
3,户县,610125,1980-1984,3209200,509000,0,509000,0,0,0,3038700,0,3038700,0,0,0,31800,0,31800,0,0,0,38500,0,38500,0,0,0,154300,0,154300,0,0,0,645000,0,645000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322900,0,322900,0,0,0,2355200,0,2355200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59500,0,59500,0,0,0,12400,0,12400,0,0,0,0,0,0,0,0,0,98600
4,长安,610121,1980-1984,2027900,387400,257200,128000,200,0,2000,1520600,954200,565100,100,0,1200,88700,66400,20800,100,0,1400,73200,53100,20100,0,0,0,188500,130300,57500,100,0,600,801500,549700,250500,100,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,110200,60500,49700,0,0,0,645900,351400,294500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206500,137800,68700,0,0,0,96600,80900,14900,500,0,300,0,0,0,0,0,0,204200
5,蓝田,610122,1980-1984,2519400,824800,154300,412900,257100,0,500,2236300,345700,980500,909000,0,1100,313000,58600,156700,97500,0,200,606200,0,371300,234600,0,300,502500,94000,248600,159600,0,300,1581300,335400,570700,674400,0,800,6100,1100,5000,0,0,0,31000,6500,24500,0,0,0,3200,600,2600,0,0,0,17800,3800,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56400,56400,0,0,0,0,30100,30100,0,0,0,0,0,0,0,0,0,0,196600
6,临潼,610123,1980-1984,299100,45100,0,44200,0,0,900,74300,0,72900,0,0,1400,25300,0,24500,0,0,800,26500,0,25600,0,0,900,19700,0,19600,0,0,100,47500,0,47000,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,300,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222800
7,高陵,610126,1980-1984,86100,1700,0,1700,0,0,0,4600,0,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,1700,0,0,0,4600,0,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81500
8,灞桥,610111,1980-1984,106600,8400,0,8400,0,0,0,9400,0,9400,0,0,0,6200,0,6200,0,0,0,3200,0,3200,0,0,0,2200,0,2200,0,0,0,6200,0,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96600
9,未央,610112,1980-1984,55200,200,200,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55200
10,雁塔,610113,1980-1984,44800,600,300,0,0,0,300,300,300,0,0,0,0,600,300,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500
